serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_(%),hook_rate_(%),hold_rate_(%),frequency,reach,results,result_rate_(%),cpr,cpc,ctr
864,ad_id_379,ad_set_050,71.61,1.44,36.97,34.28,12.68,1.24,1386,2,11.68,35.81,1.43,2.92
865,ad_id_1169,ad_set_044,105.17,0.37,36.4,36.14,13.16,1.16,2552,1,3.37,105.17,1.52,2.33
866,ad_id_144,ad_set_063,142.3,1.57,46.99,37.83,17.77,1.01,5341,6,11.14,23.72,1.01,2.62
867,ad_id_807,ad_set_072,253.64,1.56,46.15,35.83,16.54,1.11,13895,12,7.79,21.14,0.6,2.76
868,ad_id_996,ad_set_020,984.97,1.2,31.84,31.78,10.12,1.12,85919,33,3.44,29.85,0.59,1.73
869,ad_id_1265,ad_set_018,172.23,2.59,46.09,35.17,16.21,1.05,8747,13,14.16,13.25,0.68,2.78
870,ad_id_548,ad_set_066,96.76,0.4,50.82,48.2,24.5,1.26,2701,2,5.89,48.38,0.81,3.5
871,ad_id_12,ad_set_049,1348.16,1.82,51.04,40.1,20.47,1.13,48081,78,14.39,17.28,0.83,3
872,ad_id_214,ad_set_062,728.17,2.12,45.95,37.63,17.29,1.05,38286,41,10.15,17.76,0.65,2.76
874,ad_id_429,ad_set_052,772.9,1.97,47.57,36.56,17.39,1.08,39205,48,11.29,16.1,0.65,2.8
875,ad_id_1574,ad_set_027,72.78,1.07,31.16,30.32,9.45,1.05,9818,6,5.81,12.13,0.38,1.88
876,ad_id_853,ad_set_075,80.87,1.47,44.37,35.9,15.93,1.1,3318,3,8.21,26.96,1,2.22
877,ad_id_256,ad_set_093,1607.05,1.65,50.05,40.24,20.14,1.14,56056,80,12.5,20.09,0.86,2.92
893,ad_id_718,ad_set_002,33.51,1.27,31.97,31.48,10.06,1.17,957,2,17.81,16.76,1.2,2.49
894,ad_id_696,ad_set_012,47.6,3.28,34.4,30.77,10.59,1.21,1312,4,25.2,11.9,1.19,2.52
895,ad_id_462,ad_set_113,312.57,1.92,45.96,30.3,13.93,1.29,8289,16,15.02,19.54,1.06,2.76
897,ad_id_316,ad_set_007,382.31,1.39,44.35,30.5,13.53,1.23,11302,15,10.8,25.49,1.06,2.58
898,ad_id_739,ad_set_029,31.18,1.25,37.03,31.05,11.5,1.13,661,1,13.37,31.18,1.42,2.94
900,ad_id_830,ad_set_113,25.36,1.54,40.68,34.46,14.02,1.14,702,1,12.52,25.36,1.59,2
901,ad_id_1186,ad_set_082,39.49,0.99,29.3,34.25,10.04,1.13,988,2,17.92,19.75,0.94,3.76
904,ad_id_564,ad_set_049,71.24,0.55,32.97,32.34,10.66,1.02,4264,1,2.29,71.24,0.69,2.38
905,ad_id_938,ad_set_023,72.5,1.08,42.99,38.7,16.64,1.17,2269,2,7.56,36.25,0.86,3.18
906,ad_id_1586,ad_set_021,110.18,2.66,44.25,35.53,15.72,1.02,5495,8,14.23,13.77,0.84,2.33
908,ad_id_862,ad_set_036,1302.38,1.63,46.76,37.94,17.74,1.11,57017,65,10.3,20.04,0.75,2.76
909,ad_id_950,ad_set_115,3367.44,1.98,40.84,37.73,15.41,1.17,176892,226,10.87,14.9,0.67,2.44
911,ad_id_539,ad_set_007,1032.2,2.59,45.45,35.18,15.99,1.09,49547,78,14.46,13.23,0.76,2.53
912,ad_id_43,ad_set_016,65.89,1.77,42.48,34.92,14.83,1.05,3308,7,20.16,9.41,0.63,3
915,ad_id_192,ad_set_092,639.33,1.8,47.57,37.15,17.67,1.05,27136,39,13.65,16.39,0.79,2.84
919,ad_id_1110,ad_set_021,331.58,2.19,34.97,33.77,11.81,1.22,14037,21,12.31,15.79,0.84,2.32
920,ad_id_1599,ad_set_067,3814.74,1.88,47.45,37.01,17.56,1.16,132382,226,14.75,16.88,0.85,2.92
921,ad_id_1086,ad_set_002,3169.36,1.62,51.4,38.74,19.91,1.15,93296,147,13.74,21.56,0.95,3.11
922,ad_id_287,ad_set_026,4013.31,1.63,52.42,39.92,20.92,1.14,117623,199,14.81,20.17,0.97,3.07
937,ad_id_241,ad_set_052,61.69,1.43,44.4,32.61,14.48,1.12,2134,2,8.39,30.85,0.82,3.15
946,ad_id_1547,ad_set_037,36.1,1.22,45.56,28.7,13.07,1.08,906,2,20.43,18.05,0.84,4.39
1140,ad_id_1153,ad_set_066,17.54,3.55,34.03,18.82,6.41,1.05,1193,2,16.01,8.77,0.92,1.52
1143,ad_id_675,ad_set_052,100.46,0.4,37.28,19.85,7.4,1,6704,4,5.97,25.12,0.75,2
1148,ad_id_759,ad_set_023,22.56,1.81,31.54,17.77,5.61,1.06,2206,2,8.56,11.28,0.63,1.54
1149,ad_id_1327,ad_set_029,136.41,0.75,32.95,17.63,5.81,1.07,10622,7,6.16,19.49,0.74,1.63
1155,ad_id_326,ad_set_083,83.03,1.72,32.81,21.04,6.91,1.06,5945,7,11.11,11.86,0.7,1.87
1201,ad_id_538,ad_set_113,12.15,3.42,34.75,23.13,8.04,1.04,3376,2,5.72,6.08,0.32,1.09
1202,ad_id_1471,ad_set_075,23.92,1.7,38.57,25.39,9.79,1.01,6540,5,7.53,4.78,0.24,1.48
1219,ad_id_1340,ad_set_099,62.82,0.98,38.92,15.03,5.85,1,5503,2,3.63,31.41,0.7,1.64
1235,ad_id_747,ad_set_021,123.94,0.48,29.89,18.46,5.52,1.06,5181,3,5.46,41.31,1.07,2.11
1237,ad_id_1365,ad_set_007,18.97,2.11,34.65,26.11,9.04,1,1371,5,36.47,3.79,0.86,1.6
1244,ad_id_461,ad_set_010,8.48,4.72,30.63,22.55,6.91,1.04,321,1,30.03,8.48,1.41,1.8
1249,ad_id_907,ad_set_046,41.28,2.91,34.29,27.13,9.3,1.05,2418,5,19.71,8.26,1.03,1.58
1252,ad_id_1519,ad_set_105,20.5,1.95,34.12,25.56,8.72,1.04,1267,2,15.16,10.25,1.37,1.14
1271,ad_id_5,ad_set_109,8.46,9.45,37.58,16.09,6.05,1,463,7,151.19,1.21,1.06,1.73
1280,ad_id_771,ad_set_054,286.45,0.87,37.61,24.36,9.16,1.09,22690,15,6.08,19.1,0.81,1.43
1317,ad_id_899,ad_set_037,9.78,5.3,25.08,16.45,4.13,1.09,554,1,16.5,9.78,1.96,0.83
1320,ad_id_1657,ad_set_106,10.82,2.98,26.25,25.4,6.67,1.09,662,1,13.89,10.82,0.72,2.08
1355,ad_id_1424,ad_set_105,90.89,1.16,0,0,0,1.39,1271,2,11.33,45.45,2.07,2.49
1356,ad_id_153,ad_set_044,73.51,4.9,0,0,0,1.35,1391,4,21.37,18.38,1.5,2.62
1365,ad_id_102,ad_set_097,48.06,1.87,0,0,0,1.16,807,1,10.66,48.06,1.85,2.77
1367,ad_id_318,ad_set_063,48.22,1.87,0,0,0,1.11,874,1,10.3,48.22,3.44,1.44
1373,ad_id_20,ad_set_038,133.55,0.67,0,0,0,1.35,2156,1,3.45,133.55,1.91,2.41
1374,ad_id_1065,ad_set_114,80.15,5.81,0,0,0,1.27,1441,6,32.91,13.36,1.64,2.69
1376,ad_id_1126,ad_set_007,74.67,2.41,0,0,0,1.17,1380,2,12.37,37.34,1.97,2.35
1381,ad_id_1603,ad_set_070,15.63,3.39,0,0,0,1.14,263,1,33.22,15.63,1.42,3.65
1385,ad_id_347,ad_set_093,88.86,2.44,0,0,0,1.16,1695,2,10.14,44.43,1.68,2.69
1386,ad_id_1431,ad_set_067,15.45,3.43,0,0,0,1.04,338,1,28.33,15.45,1.93,2.27
1388,ad_id_1459,ad_set_056,30.64,2.94,0,0,0,1.14,643,1,13.59,30.64,1.92,2.17
1414,ad_id_90,ad_set_012,18.7,2.21,0,0,0,1.06,2026,1,4.66,18.7,0.35,2.52
1429,ad_id_215,ad_set_073,108.58,0.94,45.54,21.32,9.71,1.08,14860,3,1.87,36.19,0.44,1.53
1435,ad_id_1294,ad_set_048,50.23,2.01,40.2,64.29,25.85,1.02,5371,3,5.45,16.74,0.59,1.54
1477,ad_id_1489,ad_set_051,10.09,4.05,36.06,10.17,3.67,1.05,1565,1,6.11,10.09,0.63,0.98
1491,ad_id_764,ad_set_084,1.72,23.61,25.08,17.5,4.39,1.07,298,1,31.35,1.72,0.57,0.94
1503,ad_id_17,ad_set_082,8.9,4.61,37.31,10.26,3.83,1.03,1324,1,7.36,8.9,0.89,0.74
1540,ad_id_1669,ad_set_043,5.91,5.3,33.85,25.03,8.47,1.09,2171,1,4.22,5.91,0.16,1.52
1541,ad_id_1643,ad_set_067,12.3,2.48,36.94,16.26,6.01,1.04,8901,1,1.08,12.3,0.08,1.62
1542,ad_id_1377,ad_set_049,45.7,1.33,49.18,17.1,8.41,1.02,22613,2,0.86,22.85,0.11,1.88
1544,ad_id_1436,ad_set_049,99.16,1.21,35.02,20.36,7.13,1.01,5204,3,5.72,33.05,1.15,1.64
1555,ad_id_660,ad_set_070,55.91,0.36,43.94,31.27,13.74,1.03,6517,1,1.49,55.91,0.28,3
1559,ad_id_41,ad_set_031,29.11,1.4,38.61,19.8,7.64,1.01,5479,2,3.62,14.56,0.32,1.67
1561,ad_id_1476,ad_set_053,37.61,1.07,38.63,20.98,8.11,1.04,6858,2,2.8,18.81,0.35,1.51
1563,ad_id_1678,ad_set_020,29.35,0.69,38.81,20.36,7.9,1.02,5569,1,1.76,29.35,0.32,1.61
1564,ad_id_1074,ad_set_028,29.6,1.4,39.58,21.23,8.41,1,5568,2,3.59,14.8,0.39,1.36
1569,ad_id_1759,ad_set_087,10.93,3.25,43.36,36.52,15.83,1.04,901,1,10.63,10.93,0.91,1.28
1582,ad_id_80,ad_set_011,20.35,1,40.73,36.17,14.73,1.04,1974,1,4.88,20.35,1.85,0.54
1584,ad_id_668,ad_set_021,36.74,3.31,40.38,19.61,7.92,1.05,6799,4,5.62,9.19,0.38,1.35
1619,ad_id_936,ad_set_086,37.14,1.11,35.99,30.06,10.82,1.04,1382,1,6.93,37.14,1.86,1.39
1622,ad_id_1445,ad_set_006,14.26,2.8,26.78,22.11,5.92,1.01,734,1,13.46,14.26,1.1,1.75
1657,ad_id_1007,ad_set_022,68.84,1.24,36.78,24.1,8.86,1.04,4560,2,4.22,34.42,0.63,2.3
1661,ad_id_1532,ad_set_109,22.57,1.89,43.72,31.6,13.81,1,1759,1,5.69,22.57,0.81,1.59
1689,ad_id_1114,ad_set_055,44.42,0.95,34.38,22.64,7.79,1.01,3345,1,2.97,44.42,0.72,1.84
1695,ad_id_844,ad_set_059,44.68,0.89,32.6,20.64,6.73,1.02,3583,1,2.73,44.68,0.76,1.61
1728,ad_id_521,ad_set_019,78.71,0.33,44.57,37.43,16.68,1.1,6031,1,1.51,78.71,0.29,4.1
1729,ad_id_1601,ad_set_069,127.03,0.55,43.98,36.24,15.94,1.17,8902,3,2.89,42.34,0.31,3.92
1730,ad_id_1483,ad_set_061,107.27,0.42,44.22,35.12,15.53,1.11,7093,1,1.27,107.27,0.39,3.47
