serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_(%),hook_rate_(%),hold_rate_(%),frequency,reach,results,result_rate_(%),cpr,cpc,ctr
106,ad_id_1163,ad_set_109,2041.56,2.19,36.34,43.15,15.68,1.33,40144,99,18.48,20.62,0.83,4.62
108,ad_id_894,ad_set_099,39.53,0.99,43.75,36.6,16.02,1.2,1088,1,7.66,39.53,0.76,3.98
109,ad_id_1491,ad_set_016,395.18,1.86,48.11,38.32,18.43,1.4,8213,13,11.29,30.4,1,3.45
110,ad_id_1179,ad_set_061,62.13,0.71,47.71,35.79,17.08,1.23,1386,1,5.87,62.13,1.07,3.4
114,ad_id_1684,ad_set_008,284.75,0.54,35.58,48.63,17.3,1.22,4374,4,7.5,71.19,1.18,4.54
115,ad_id_457,ad_set_023,80.2,1.06,43.15,41.03,17.7,1.4,1034,2,13.83,40.1,1.22,4.56
118,ad_id_781,ad_set_081,591.23,1.58,41.69,41.15,17.16,1.77,8266,19,12.99,31.12,0.97,4.18
120,ad_id_1508,ad_set_034,2734.66,2.2,36.25,43.26,15.68,1.41,49437,128,18.4,21.36,0.84,4.65
121,ad_id_1343,ad_set_014,3534.91,1.97,36.08,43.31,15.63,1.49,64597,153,15.88,23.1,0.78,4.73
124,ad_id_710,ad_set_092,108.66,0.88,41.05,33.57,13.78,1.42,1691,1,4.16,108.66,0.98,4.62
130,ad_id_442,ad_set_052,119.98,1.11,42.71,38.55,16.46,1.54,2398,3,8.15,39.99,0.69,4.75
134,ad_id_313,ad_set_099,65.95,0.52,37,39.73,14.7,1.44,1367,1,5.07,65.95,1.29,2.58
143,ad_id_383,ad_set_092,2189.77,2.39,32.27,48.93,15.79,1.79,27342,112,22.85,19.55,0.94,4.74
144,ad_id_917,ad_set_083,2723.74,1.9,32.54,48.81,15.88,1.85,35140,111,17.12,24.54,0.9,4.64
148,ad_id_963,ad_set_033,49.75,0.86,51.51,32.83,16.91,1.26,1134,1,7.02,49.75,0.87,4
149,ad_id_978,ad_set_067,1898.48,2.16,32.16,49.63,15.96,1.81,25291,84,18.33,22.6,0.89,4.66
152,ad_id_10,ad_set_019,4017.25,1.94,31.22,48.87,15.26,2.07,50572,163,15.6,24.65,0.88,4.34
162,ad_id_1155,ad_set_042,461.48,1.45,58.99,39.09,23.06,1.39,15612,17,7.86,27.15,0.73,2.9
168,ad_id_1562,ad_set_027,159.32,1.42,34.36,43.17,14.83,1.99,2802,5,8.99,31.86,0.75,3.83
172,ad_id_843,ad_set_091,18.98,2.11,54.5,33.72,18.38,1.04,757,1,12.67,18.98,1.19,2.03
179,ad_id_795,ad_set_020,54,0.72,57.31,23.73,13.6,1.2,1456,1,5.71,54,0.96,3.2
184,ad_id_1578,ad_set_107,4.1,15.6,65.22,38.33,25,1.01,182,1,54.35,4.1,0.82,2.72
199,ad_id_1148,ad_set_044,63.12,0.68,42.8,35.32,15.12,1.14,1580,1,5.56,63.12,1.13,3.11
201,ad_id_1677,ad_set_042,33.62,1.16,58.97,26.19,15.44,1.15,1115,1,7.8,33.62,0.84,3.12
202,ad_id_969,ad_set_061,9.05,4.31,45.61,23.85,10.88,1.14,420,1,20.92,9.05,0.53,3.56
203,ad_id_709,ad_set_072,23.02,3.39,38.06,34.32,13.06,1.05,588,2,32.26,11.51,1.77,2.1
204,ad_id_1719,ad_set_060,87.63,2.27,40.99,34.95,14.33,1.12,3054,5,14.62,17.53,0.89,2.89
206,ad_id_852,ad_set_021,75.84,1.3,60.69,39.41,23.92,1,3391,2,5.9,37.92,0.62,3.63
210,ad_id_378,ad_set_076,352.6,1.81,60.68,37.12,22.52,1.1,13723,15,9.92,23.51,0.91,2.57
215,ad_id_1498,ad_set_072,1336.84,1.64,33.54,48.96,16.42,1.64,22089,54,14.89,24.76,0.88,4.18
216,ad_id_944,ad_set_103,754.15,1.77,24.37,45.99,11.21,1.59,14214,34,15.01,22.18,0.9,3.71
217,ad_id_182,ad_set_106,700.74,1.55,27.16,48.06,13.06,1.54,12730,26,13.28,26.95,0.91,3.93
218,ad_id_1791,ad_set_038,399.71,1.8,31.42,47.34,14.87,1.33,7735,17,16.55,23.51,1,3.89
223,ad_id_1100,ad_set_118,191.96,2.13,60.83,37.75,22.96,1.1,7810,11,12.77,17.45,0.81,2.74
224,ad_id_1644,ad_set_047,417.69,0.85,60.38,38.02,22.96,1.09,17190,9,4.82,46.41,0.93,2.4
225,ad_id_537,ad_set_100,148.26,0.77,59.74,38.04,22.73,1.19,3466,3,7.25,49.42,1.17,3.07
226,ad_id_1594,ad_set_061,451.73,1.72,58.29,37.57,21.9,1.28,13087,19,11.36,23.78,0.94,2.88
229,ad_id_953,ad_set_098,23.99,1.62,55.01,16.15,8.88,1.1,801,1,11.39,23.99,1.09,2.51
233,ad_id_311,ad_set_050,13.96,2.79,59.52,24.77,14.75,1.13,330,1,26.81,13.96,1.16,3.22
238,ad_id_1692,ad_set_109,66.41,1.81,53.25,21.38,11.39,1.19,1460,3,17.25,22.14,1.25,3.05
246,ad_id_1800,ad_set_092,5.08,7.67,32.09,41.86,13.43,1.16,116,1,74.63,5.08,1.69,2.24
256,ad_id_1304,ad_set_031,56.19,0.69,40.13,32.98,13.24,1.3,1258,1,6.13,56.19,1.06,3.25
257,ad_id_1509,ad_set_010,863.4,1.27,38.07,39.78,15.14,1.88,14767,27,9.75,31.98,1.19,2.62
260,ad_id_131,ad_set_098,736.01,1.48,37.55,40.31,15.14,1.79,11397,24,11.79,30.67,1.22,2.95
261,ad_id_1611,ad_set_018,256.98,1.73,57.68,23.08,13.31,1.33,8046,11,10.25,23.36,0.84,2.86
275,ad_id_635,ad_set_019,914.66,1.95,43.27,41.84,18.11,1.09,31077,45,13.28,20.33,0.82,3.29
276,ad_id_1271,ad_set_012,136.27,0.88,38.11,47.21,17.99,1.49,3023,3,6.64,45.42,0.97,3.12
277,ad_id_942,ad_set_086,211.2,1.61,39.28,39.22,15.4,1.39,4251,8,13.53,26.4,1.2,2.98
278,ad_id_1783,ad_set_010,720.46,2,42.17,33.84,14.27,1.57,14392,37,16.35,19.47,0.95,3.34
279,ad_id_1077,ad_set_001,630.28,1.3,61.33,26.11,16.01,1.93,8556,20,12.09,31.51,1.26,3.02
280,ad_id_1345,ad_set_059,526.1,2.84,32.99,49.09,16.19,1.39,8242,34,29.73,15.47,1.06,4.34
281,ad_id_1756,ad_set_001,1231.76,1.42,32.31,44.95,14.52,1.6,22941,31,8.46,39.73,0.95,3.55
282,ad_id_872,ad_set_021,42.14,4.27,35.85,38.38,13.76,1.18,1076,4,31.45,10.54,1,3.3
283,ad_id_1731,ad_set_102,1614.49,1.24,49.27,39.26,19.35,1.24,42110,49,9.39,32.95,0.99,3.13
286,ad_id_417,ad_set_066,4195.43,1.9,31.88,41.46,13.22,1.69,101715,197,11.45,21.3,0.83,2.95
287,ad_id_1207,ad_set_104,2362.76,2.49,35.39,48.2,17.06,1.72,48287,141,17.01,16.76,0.69,4.16
293,ad_id_986,ad_set_047,5.57,7,43.98,23.29,10.24,1.05,158,1,60.24,5.57,1.11,3.01
300,ad_id_503,ad_set_007,57.55,1.35,35.72,34.97,12.49,1.12,2151,2,8.33,28.78,0.9,2.66
301,ad_id_265,ad_set_007,7144.99,1.9,50.15,37.74,18.92,1.7,151019,327,12.74,21.85,0.93,3
302,ad_id_4,ad_set_113,78.93,4.51,35.93,32.93,11.83,1.16,2944,8,23.37,9.87,0.97,2.37
303,ad_id_734,ad_set_073,50.83,0.77,34.48,31.4,10.83,1.14,2061,1,4.26,50.83,0.98,2.22
304,ad_id_73,ad_set_031,24680.51,2.18,32.44,47.29,15.34,3.09,218577,1219,18.06,20.25,0.85,4.28
305,ad_id_1647,ad_set_018,141.24,1.69,30.72,41.85,12.86,1.17,3216,6,15.97,23.54,1.18,3.19
306,ad_id_1158,ad_set_047,60.27,0.65,31.57,43.89,13.86,1.11,1256,1,7.14,60.27,1.12,3.86
307,ad_id_893,ad_set_114,39.67,0.86,53.92,36.88,19.89,1.09,962,1,9.56,39.67,0.92,4.11
308,ad_id_925,ad_set_003,40.14,0.97,45.83,33.71,15.45,1.1,884,1,10.3,40.14,1.49,2.78
309,ad_id_1690,ad_set_019,91.18,1.19,50.75,38.92,19.75,1.15,2503,3,10.41,30.39,0.95,3.33
310,ad_id_1024,ad_set_005,70.7,0.55,37.24,31.14,11.6,1.07,1374,1,6.82,70.7,1.57,3.07
315,ad_id_336,ad_set_068,14.03,2.53,47.96,41.09,19.7,1.1,244,1,37.17,14.03,2.34,2.23
319,ad_id_964,ad_set_043,17.2,4.42,49.07,37.3,18.3,1.18,319,2,53.05,8.6,1.08,4.24
323,ad_id_1403,ad_set_041,10.38,3.98,46.74,38.97,18.21,1.05,278,1,34.36,10.38,0.58,6.19
329,ad_id_556,ad_set_019,59.18,1.89,50.17,38.02,19.07,1.13,1586,3,16.78,19.73,0.81,4.08
330,ad_id_926,ad_set_010,6.16,5.52,44.29,30.11,13.33,1.07,197,1,47.62,6.16,0.56,5.24
332,ad_id_1411,ad_set_044,25.66,1.38,47.25,39.81,18.81,1.12,584,1,15.29,25.66,1.35,2.91
336,ad_id_1720,ad_set_070,47.22,1.55,46.95,40.77,19.14,1.15,1053,2,16.5,23.61,1.43,2.72
339,ad_id_1150,ad_set_029,19.06,1.86,46.54,42.38,19.72,1.08,535,1,17.3,19.06,1,3.29
342,ad_id_1500,ad_set_055,85.54,2.12,50.28,39.41,19.82,1.14,2374,4,14.73,21.39,0.67,4.68
343,ad_id_78,ad_set_047,7.34,8.72,42.6,44.21,18.83,1.1,203,1,44.84,7.34,0.82,4.04
346,ad_id_1082,ad_set_003,41.54,0.94,51.68,33.85,17.49,1.13,1005,1,8.83,41.54,1.01,3.62
347,ad_id_1488,ad_set_025,18615.08,2.41,35.24,48.69,17.16,2.83,182605,1070,20.72,17.4,0.75,4.79
355,ad_id_1626,ad_set_028,13.54,4.28,44.41,25.19,11.18,1.07,283,1,32.89,13.54,1.23,3.62
366,ad_id_1649,ad_set_087,9.48,4.11,34.83,40,13.93,1.12,180,1,49.75,9.48,1.05,4.48
